Player,Name_abbreviation,Team,Opponent,Home Team,Away Team,Over Line,Over Odds,Under Line,Under Odds,API Projected Value,API Recommended Side,Streak,Streak Type,Probability,Bet Rating,Diff
Cristopher Sanchez,sanchcr,PHI,N/A,N/A,N/A,6.5,2.21,6.5,1.7,5.02,under,2,under,0.75925319692903,5,-1.48
Michael Soroka,sorokmi,WSN,N/A,N/A,N/A,3.5,1.83,3.5,1.91,4.6,over,2,over,,,1.1
Tyler Anderson,anderty,LAA,N/A,N/A,N/A,3.5,1.81,3.5,1.95,4.56,over,2,under,,,1.06
Luis L. Ortiz,l.lu,CLE,N/A,N/A,N/A,3.5,1.8,3.5,1.95,4.49,over,5,over,,,0.99
Tyler Glasnow,glasnty,LAD,N/A,N/A,N/A,6.5,1.77,6.5,2.02,7.32,over,2,under,,,0.82
Emerson Hancock,hancoem,SEA,N/A,N/A,N/A,4.5,2.05,4.5,1.74,3.68,under,3,under,,,-0.82
Sean Newcomb,newcose,BOS,N/A,N/A,N/A,3.5,2.25,3.5,1.64,4.27,over,8,under,,,0.77
German Marquez,marquge,COL,N/A,N/A,N/A,4.5,2.27,4.5,1.68,3.8,under,4,under,,,-0.7
David Peterson,peterda,NYM,N/A,N/A,N/A,4.5,2.0,4.5,1.83,5.19,over,1,under,,,0.69
Kyle Hart,hartky,SDP,N/A,N/A,N/A,3.5,2.1,3.5,1.71,4.12,over,0,,,,0.62
Ben Brown,brownbe,CHC,N/A,N/A,N/A,5.5,1.88,5.5,1.87,4.98,under,2,under,,,-0.52
Cade Povich,povicca,BAL,N/A,N/A,N/A,4.5,1.71,4.5,2.1,4.99,over,1,under,,,0.49
Joey Estes,estesjo,ATH,N/A,N/A,N/A,3.5,1.95,3.5,1.88,3.98,over,6,under,,,0.48
Bowden Francis,francbo,TOR,N/A,N/A,N/A,4.5,1.77,4.5,2.05,4.94,over,1,under,,,0.44
Cal Quantrill,quantca,MIA,N/A,N/A,N/A,3.5,1.65,3.5,2.2,3.83,over,1,under,,,0.33
Kris Bubic,bubickr,KCR,N/A,N/A,N/A,4.5,1.67,4.5,2.16,4.6,over,32,under,,,0.1
